 ,Linea,Cod Familia,Familia,Cod Producto,Producto,Cod Color,Familia Color,COD SKU PT,UM,Doc x Paq,Doc X bulto,PESO g.,Precio Estimado, Precio Sin IGV , Indicador x kg. ,Status,Codigo Barra,Marca,Nombre GS1,OBS
1,HOGAR,10,EMBUDOS,100,EMBUDO #1 X 12,3,Solido,11010003,DOC,40,80,22,8.5,7.2,6.82,ALTA,7.75933E+12,MUNDOPLAST,EMBUDO # 1,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,10,EMBUDOS,101,EMBUDO #2 X 12,3,Solido,11010103,DOC,20,40,35,11.5,9.75,5.8,ALTA,7.75933E+12,MUNDOPLAST,EMBUDO # 2,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,10,EMBUDOS,102,EMBUDO #4,3,Solido,11010203,DOC,5,10,130,36,30.51,4.89,ALTA,7.75933E+12,MUNDOPLAST,EMBUDO # 4,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,10,EMBUDOS,103,EMBUDO GIGANTE,3,Solido,11010303,DOC,5,10,177,48,40.68,4.79,ALTA,7.75933E+12,MUNDOPLAST,EMBUDO GIGANTE,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,11,ENVASES,104,ENVASE BELGICA 4KG. TRANSPARENTE,4,Transparente,11110404,DOC,5,10,200,64,54.24,5.65,ALTA,7.75933E+12,MUNDOPLAST,ENVASE BELGICA 4KG TRANSPARENTE,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,11,ENVASES,105,ENVASE BELGICA 4KG. PASTEL,2,Pastel,11110502,DOC,5,10,200,64,54.24,5.65,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,11,ENVASES,106,ENVASE BELGICA 4KG. VACAS NEGRAS,4,Transparente,11110604,DOC,5,10,200,62,52.54,5.47,ALTA,,,POR CREAR CODIGO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,11,ENVASES,107,ENVASE BELGICA 6KG. TRANSPARENTE,4,Transparente,11110704,DOC,5,10,264,83,70.34,5.55,ALTA,7.75933E+12,MUNDOPLAST,ENVASE BELGICA 6KG. TRANSPARENTE,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,12,FLOREROS,108,FLORERO AMERICANO,3,Solido,11210803,DOC,6,24,62,26,22.03,7.4,ALTA,7.75933E+12,MUNDOPLAST,FLORERO DE PLASTICO AMERICANO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,12,FLOREROS,109,FLORERO CISNE,3,Solido,11210903,DOC,6,24,56,26,22.03,8.2,ALTA,7.75933E+12,MUNDOPLAST,FLORERO DE PLASTICO CISNE,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,12,FLOREROS,110,FLORERO ITALIANO,3,Solido,11211003,DOC,4,16,62,26,22.03,7.4,ALTA,7.75933E+12,MUNDOPLAST,FLORERO DE PLASTICO ITALIANO,ACTUALIZAR PRECIO EN SISTEMA
